targetId,totalPeers,respondedPeers,hitPeers,hit_rate,source,ipv4
60b1c887c52b19b633b478d2aa57d0a33a44d682c31e267e45ce0e4f82943bade2ced5966b09cc8e911c8804322bd2448d4bd716a51adf8f05b5275aa1d1692e,5562,784,520,66.33%,seed,18.210.241.149
28728d9c7285286594b986712f0068f209cdc8ab258a65b823dd12a032eadf61d29d1a3d2c3fdaef806e9a70090cc16d1e3abd9be481317870090a9b9b48178a,5562,785,519,66.11%,seed,35.174.93.198
0178031095204444eadb926fe1a9f06bfd65c9b9171f8869310cac9099ce9cf77bb783c8f95ae42b127823da18573b46038f3af1c07b0577ff1f366489b3672b,5562,788,511,64.85%,seed,54.82.161.39
773e98a395774ab5f9033615b6e2e3827d64664cd192cf9d9e593cd7543a021dacbc2144550d6ee6d9b3d4e3036f97eb716159638c9f62836eaf0ef8acd826c7,5562,787,510,64.80%,seed,54.167.11.177
8da0a9bc8816c3cc278d7febe3b3afd4604e957074f3d12edd15d24713527cbccb47cfb1cc5580a62fffe53137fadf898d35310359392a55b18d288d52498498,5562,789,494,62.61%,seed,54.153.59.116
ab37d79978bb03521279b46c9069925aad4205b9abec5781568946d78299768fe1c300d1c51b0d644cdc6d9544f1d694962c3181a37e5afaa08a4a3de3a00a1a,5562,781,469,60.05%,seed,15.207.144.3
e4be899067e8870e8e38e69f343354c84665c31cc5b7d1974d526d8fcdd72d2ebf614651b868e2f70ced9787395ae9a13460f9acce933924cc0c87b91b4251d6,5562,785,454,57.83%,legacy seed,18.196.99.16
d4cb7032dadcfbc69a1f679f366be3e24f4fdc4a5098ce4152a8fe436f21f6ae8c8532b96daaeafddfb850bb259fafa05811fa5f71ecfb88e08913d64cf74bf2,5562,598,442,73.91%,seed,18.133.82.227
72241b9b731cd3216c901ef26074f5dd6c0671bd5551e171be519706ad439169cea8650b174c038e5d19ac6b9b357d694ac484afc9c945f817397ce70bf0b0f7,5562,784,425,54.21%,seed,52.196.244.176
efc70644855fc4eecacdc49a5772b03a447a8c50b08eaa0f295f65f01f5bbc40cb43aafb2ee66bc2fa82f718463c61c7796b77ce17c1d7df155e36138fec250a,5562,603,420,69.65%,seed,3.225.171.164
3853d11d2a37d6a7a2bbd638040cb44855d7f30a117aab0f704df25a63dc59b678183a323fb35bc3e2d8d0dd1d482db9631ff81680cef1350e098d0f248704eb,5562,788,420,53.30%,seed,35.74.7.196
511732227e1c125634736c921e12b5ae4c611ec4cac5885dc126f8d6009aa0fd1265c91241ce561d397719e70de9c1848e2315715704dd5c3371ab1a9bb7477e,5562,789,402,50.95%,seed,54.179.207.68
8d6d7174c2952da25e3d30e0b1abcf61ef4428c64882cee807113411e5600436b38e4c3322e142b93172b806a53f2a8498823e2c1479ad8eac42d74887e74f02,5562,599,367,61.27%,legacy seed,34.253.187.192
3ca2322ec760ed0502746be7a5e4329fb6569ecebc1f8e9e4e4518d674648144fc8379265197f691f121271005f19022dff0b67a0db0a62007298fd3e3bcd62f,5562,604,366,60.60%,seed,54.177.115.127
69d85b66e726865849d791f567020639e7352765ab7a963483409c2e9ba9ca6dc0afc2bb6b6e6c2895f72664c8064df52657b33370bafb64907beb602e0472f5,5562,603,346,57.38%,seed,54.153.94.160
03443b378211121435d48ad543bb3262c9399eb6ac1a2530e9c24725e6a3bb2bec1fd29372d349b95f7d0f9cff6916053892ab24b87378bdd86cddcf9254d436,5562,605,301,49.75%,seed,54.254.131.82
bee13147ad176da1458c13b07936fc8388c73b9a5b0ca7b07fe78ed5d0d79b0f3c0e7d6be7473644974304e67f758688223255b4c26b150670e2011bf9256232,5562,599,292,48.75%,seed,54.151.226.240
8188166cd3499000443077351920da8551c0a2638708ce91d01facae573a2d30b3c8af3e7f1458d5c1fe8673e90bd1b7426a5b38c0abba32fba90822b4a86460,5562,787,290,36.85%,seed,108.128.110.16
5bdf93b1d1a0ec59bd3e362060bdc5e9886d9b685dacfb665935e9c3a8a6a6f06ad07cccfd6f771b694f2c8cefd383a396d5cf6492c2137b833f005b19adcc89,5562,599,288,48.08%,seed,18.163.230.203
a3328aedadb8d4e3c5955be36ec4d4998e76b9511f9eba55627541bfebd04da50f9eece0d0e39b578fcfa28786496c2679bbb9c3c6ec7854080762b0b7804665,5562,785,288,36.69%,legacy seed,54.252.224.209
c301bd952530f1a1fb07b2b0384ccc0e84e18c5f6ed663fc5c361e99f931a6bf1109dfdb87763271bf93f2a9790c7cbdc8f87723340bfc75c7dabed560dafb94,5562,607,285,46.95%,seed,54.248.129.19
da93f80a2f99009bcbd1d331525788a239e774c70da27f7772f8bb7049d3dead8a7a97c1959dd9cf3b27aa4264ff505a1adf5e0bc374dca00075c2da62ac2cea,5562,600,283,47.17%,seed,18.142.82.44
f9c101e2d3e97c1b744229f8f665eb7d0e9460f5042f5460415cd73131651c4ac86d0616fa9edf1ef53e7a6c507954a205b128a8db24e94c8a44f5cec70f1a8c,5562,601,282,46.92%,seed,3.0.214.7
c75f1e4359bf345b3a8c6c96bff5ae520bc5e4c98bb1213cf09aff437444b3fea56762ee307c14f359c9bcc53394ce9f3e618e0ed89598d0efb72f438d98e9fd,5562,788,281,35.66%,seed,52.8.46.215
